id,timing,target,condition,cond_option,ability,ability_option
1,on_this_summon,self,none,none,set_keyword,keyword=1
2,on_this_summon,self,none,none,set_keyword,keyword=2
3,on_this_summon,self,none,none,set_keyword,keyword=3
4,on_this_summon,self,none,none,set_keyword,keyword=4
5,on_this_summon,self,none,none,set_keyword,keyword=5
6,on_this_summon,self,none,none,set_keyword,keyword=6
22,on_this_summon,self,none,none,set_keyword,keyword=22
25,on_this_summon,self,none,none,set_keyword,keyword=25
29,on_this_summon,self,none,none,set_keyword,keyword=29
36,on_this_summon,self,none,none,set_keyword,keyword=36
37,on_this_summon,self,none,none,set_keyword,keyword=37
39,on_this_summon,self,none,none,set_keyword,keyword=39
40,on_this_summon,self,none,none,set_keyword,keyword=40
41,on_this_summon,self,none,none,set_keyword,keyword=41
929,on_this_summon,self,none,none,set_keyword,until=source_evolve&keyword=29
----,----,----,----,----,----,----
-1,on_this_use,me_hand_1_index+other,none,none,discard,type=vanish
-2,on_this_use,none,none,me.leader.craft=0,travel,count=2&filter=[zone:me.deck.zone]
-3,on_this_use,none,none,me.leader.craft[NOT]0,travel,count=2&filter=[zone:me.deck.zone][craft:me.leader.craft]
-4,on_this_use,me_hand_1_index+other,none,none,discard,type=vanish
-5,on_this_use,none,none,me.leader.craft=0,travel,count=2&filter=[zone:me.deck.zone][rarity:3|4]
-6,on_this_use,none,none,me.leader.craft[NOT]0,travel,count=2&filter=[zone:me.deck.zone][craft:me.leader.craft][rarity:3|4]
----,----,----,----,----,----,----
1001,on_this_use,me_leader_0_all_[type:0],none,none,heal,heal=2
1002,on_this_use,none,none,none,draw,count=1&filter=[type:3]
1003,on_this_use,me_field_0_all_[type:1|9],none,none,buff,add=1/0
1004,on_turn_start,me_field_0_all_[type:1|9],none,me.isMyTurn=1&effect.source.where=5,buff,add=1/0
1005,on_this_use,me_field_1_index_[type:1|9],none,none,buff,add=2/0
1006,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,damage,damage=3
1007,on_this_use,op_field_1_index_[type:1|9],none,none,destroy,none
1008,on_this_use,op_leader_0_all_[type:0],none,none,damage,damage=2
1009,on_this_use,all_field_0_all_[type:1|9],none,none,damage,damage=3
1010,on_this_destroy,none,none,none,get_token,id=910011101&count=1
1011,on_this_use,op_field_1_random_[type:1|9],none,none,damage,damage=1
1012,on_this_use,none,leader.combo,me.leader.combo[GTE]2,draw,count=1
1013,on_other_summon,self,none,effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][type:1|9]=1,buff,add=1/0
1014,on_this_use,none,none,none,get_token,id=910011101&count=1
1015,on_this_use,none,none,none,get_token,id=910011101&count=2
1016,on_this_use,me_field_1_index_[type:1|3|9],none,none,return,none
1017,on_this_use,none,none,none,draw,count=1
1018,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=2
1019,on_this_use,none,none,none,get_token,id=910011101&count=1
1020,on_this_evolve_with_ep,none,none,none,get_token,appendix=1021&id=910011101&count=2
1021,on_this_evolve_with_ep,sourceEffect.target_hand_0_all,none,none,set_cost,set=0
1022,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=me.hand.count
1023,on_this_use,none,none,none,get_token,id=910011101&count=2
1024,on_this_use,me_field_0_all_[type:1|9],leader.combo,me.leader.combo[GTE]2,buff,add=1/1
1025,on_this_use,none,none,none,summon,id=910021101&count=1
1026,on_this_use,none,none,none,summon,id=910021105&count=1
1027,on_this_use,op_field_0_all_[type:1|9],none,none,damage,damage=1
1028,on_this_attack,op_field_0_all_[type:1|9],none,none,damage,damage=1
1029,on_this_use,all_field_1_index_[type:1|9],none,none,buff,until=turn_end&add=1/0
1030,on_this_use,none,none,none,draw,count=1
1031,on_this_use,me_field_1_index_[type:1|9],leader.rally,me.leader.rally<10,buff,add=2/2
1032,on_this_use,me_field_1_index_[type:1|9],leader.rally,me.leader.rally[GTE]10,buff,add=4/4
1033,on_this_use,none,none,none,draw,count=1&filter=[trait:2]
1034,on_this_evolve_with_ep,none,none,none,summon,id=910021104/910021101&count=1/1
1035,on_this_use,op_field_1_index_[type:1|9],none,me.field[keyword:5].count=0,damage,damage=3
1036,on_this_use,op_field_1_index_[type:1|9],none,me.field[keyword:5].count>0,damage,damage=6
1037,on_this_use,op_leader+field_1_index_[type:0|1|9],none,earth[1]=1,damage,earth=1&damage=3
1038,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1039,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,damage,damage=1
1040,on_this_use,none,none,none,draw,count=1
1041,on_this_use,none,none,none,summon,id=910031102&count=1
1042,on_this_use,op_field_1_index_[type:1|9],source.boost,none,damage,damage=1+effect.source.boost
1043,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1044,on_this_use,op_field_1_index_[type:1|9],none,none,destroy,none
1045,on_this_destroy,none,none,none,draw,count=1
1046,on_this_use,none,none,none,draw,count=1
1047,on_this_boost,self,source.boost,effect.source.where[NOT]5,set_cost,add=-1
1048,on_this_use,none,none,none,summon,id=910031301&count=1
1049,on_this_use,me_hand_1_index+other_[keyword:14],none,none,boost,add=2
1050,on_this_use,none,none,none,draw,count=1
1051,on_this_use,none,none,me.isAwake=1,draw,count=1
1052,on_this_use,self,none,me.isAwake=1,set_keyword,keyword=1
1053,on_this_destroy,op_field_1_random_[type:1|9],none,none,damage,damage=1
1054,on_this_use,none,none,none,summon,id=910041102&count=1
1055,on_this_use,self,none,me.isAwake=1,set_keyword,keyword=1
1056,on_this_use,self,none,me.isAwake=1,set_keyword,keyword=2
1057,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=2
1058,on_this_use,all_field_0_all_[type:1|9],none,none,damage,damage=1
1059,on_turn_start,me_leader_0_all_[type:0],none,me.isMyTurn=1&me.isAwake=1&effect.source.where=5,heal,heal=2
1060,on_turn_start,none,none,me.isMyTurn=1&me.isAwake=1&effect.source.where=5,draw,count=1
1061,on_turn_start,self,none,me.isMyTurn=1&me.isAwake=1&effect.source.where=5,destroy,none
1062,on_turn_end,none,none,me.isMyTurn=1&effect.source.where=5,summon,id=910041103&count=1
1063,on_this_use,none,none,none,ramp,add=1
1064,on_this_use,none,none,none,draw,count=2
1065,on_this_use,me_leader_0_all_[type:0],none,none,heal,heal=3
1066,on_this_use,self,none,none,buff,enhance=7&add=2/2
1067,on_this_use,self,none,none,set_keyword,enhance=7&keyword=1
1068,on_this_destroy,none,none,none,set_grave,add=1
1069,on_this_destroy,none,none,none,draw,count=1
1070,on_this_use,me_field_1_index+other_[type:1|9],none,me.field[type:1|9].count>0,destroy,none
1071,on_this_use,none,none,me.field[type:1|9].count>0,draw,count=2
1072,on_this_use,me_hand_1_index+other_[type:1|9],none,me.field.availableCount[GTE]2,bury,appendix=1073
1073,on_this_use,none,none,none,draw,count=1
1074,on_this_destroy,op_leader_0_all_[type:0],none,none,damage,damage=2
1075,on_turn_end,self,none,me.isMyTurn=1,vanish,none
1076,on_this_use,op_field_1_index_[type:1|9],none,none,damage,damage=3
1077,on_this_use,none,none,none,summon,enhance=7&id=910051103&count=3
1078,on_this_use,none,none,none,reanimate,cost=3
1079,on_this_use,none,none,none,reanimate,enhance=8&cost=5
1080,on_this_use,op_field_1_index_[type:1|9],none,none,destroy,none
1081,on_this_use,none,none,necromance[4]=1,summon,necromance=4&id=910051104&count=1
